19/03/2026,"-4.98",ALIBABA CLOUD             SG  3.36  USD 0.17 AUD,,,,,
19/03/2026,"-3.44",W&X EVERSWEET PTY LTD     COOMERA,,,,,
18/03/2026,"-219.95",FOOTMASTER SHOES PTY L    COOMERA,,,,,
13/03/2026,"4493.00",PAYMENT THANKYOU 181106,,,,,
13/03/2026,"-80.05",OPENAI                    OPENAI.COM  55.00  USD 2.71 AUD,,,,,
13/03/2026,"-76.98",LOVISA PTY LIMITED        RUNAWAY BAY,,,,,
12/03/2026,"-30.06",PAPER.DESIGN              PAPER.DESIGN,,,,,
12/03/2026,"-27.38",Salon Nook                Labrador,,,,,
12/03/2026,"-40.44",WOOLWORTHS/CNR BAYVIEW ST RUNAWAY BAY,,,,,
11/03/2026,"-351.90",CLAUDE.AI SUBSCRIPTION    ANTHROPIC.COM,,,,,
11/03/2026,"-465.57",WOOLWORTHS/NEXUS WAY      SOUTHPORT,,,,,
11/03/2026,"-17.47",WHEEL AND BARROW FERRY    SOUTHPORT,,,,,
11/03/2026,"-11.99",CW SOUTHPORT BRICK        SOUTHPORT,,,,,
10/03/2026,"-14.84",ALLNODES                  ALLNODES.COM  10.00  USD 0.50 AUD,,,,,
10/03/2026,"-6.59",SPAR CHIRN PARK           LABRADOR,,,,,
09/03/2026,"-7.74",FOODWORKS COOMBABAH       COOMBABAH,,,,,
09/03/2026,"-47.42",CHIRN PARK CHEMPRO CHE    SOUTHPORT,,,,,
09/03/2026,"-249.00",SP HANA THE LABEL         KELLYVILLE,,,,,
09/03/2026,"-1.49",APPLE.COM/BILL            SYDNEY,,,,,
09/03/2026,"-92.83",ATLAS FUEL GLOBAL PTY     LABRADOR,,,,,
09/03/2026,"-14.06",EMERALD LAKES GOLF C      CARRARA,,,,,
06/03/2026,"34.00",CLAUDE.AI SUBSCRIPTION    SAN FRANCISCO,,,,,
06/03/2026,"-86.46",WOOLWORTHS/NEXUS WAY      SOUTHPORT,,,,,
06/03/2026,"-7.45",COLES 4572                WORONGARY,,,,,
06/03/2026,"-94.42",PET DESTINATION           PARKWOOD,,,,,
06/03/2026,"-35.22",TRANSPORTMAINRDS          BRISBANE,,,,,
06/03/2026,"-10.05",POST CHIRN PARK LPO       CHIRN PARK,,,,,
06/03/2026,"-15.00",MATER LOTTERIES           NEWSTEAD,,,,,
05/03/2026,"-29.99",HUBBL - KAYO SPORTS       131999,,,,,
05/03/2026,"-26.45",K & K INVESTMENTS AU      PARKWOOD,,,,,
04/03/2026,"3450.00",PAYMENT THANKYOU 472995,,,,,
04/03/2026,"-5.64",GUMROAD* CODEGRID         GUMROAD.COM  3.83  USD 0.19 AUD,,,,,
04/03/2026,"-5.03",Google CLOUD R6KxH2       Sydney,,,,,
04/03/2026,"-70.11",UNITED PARKWOOOD          PARKWOOD,,,,,
03/03/2026,"-11.00",WOOLWORTHS/NEXUS WAY      SOUTHPORT,,,,,
03/03/2026,"-12.50",FELIX MOBILE              NORTH SYDNEY,,,,,
02/03/2026,"-111.15",WOOLWORTHS/NEXUS WAY      SOUTHPORT,,,,,
02/03/2026,"-25.00",SUPERLOOP BROADBAND       BRISBANE CITY,,,,,
02/03/2026,"-48.33",MIDJOURNEY INC.           MIDJOURNEY.CO  33.00  USD 1.63 AUD,,,,,
02/03/2026,"-43.50",CHIRN PARK CHEMPRO CHE    SOUTHPORT,,,,,
02/03/2026,"-50.00",CHIRN PARK CHEMPRO CHE    SOUTHPORT,,,,,
02/03/2026,"-120.00",HARLEQUIN MEDICAL SERV    WORONGARY,,,,,
27/02/2026,"-35.19",CLAUDE.AI SUBSCRIPTION    ANTHROPIC.COM,,,,,
